,sma_vol_20,sma_vol_10,sma_vol_5,ewma_vol,gk_vol_daily,gk_vol_20,gk_vol_10,gk_vol_5,rs_vol_daily,rs_vol_20,rs_vol_10,rs_vol_5,yz_vol_20,yz_vol_10,yz_vol_5,garch_vol,sma_vol_20_predict,sma_vol_10_predict,sma_vol_5_predict
sma_vol_20,1.0,0.8895146670874953,0.7483481466029759,0.9552812928125561,0.6775465884582363,0.9378735160467776,0.8867482903897332,0.8174887395765436,0.6436571018138634,0.9132919272473037,0.8634750383390636,0.7933035660439457,0.935610043814748,0.8814356956757988,0.8075732605905608,0.9001179862342901,0.9878421878185889,0.8977241294577745,0.7584723228197688
sma_vol_10,0.8895146670874953,1.0,0.8544222407399307,0.8825678319048498,0.7036885765281131,0.8295274840315024,0.9014055489726298,0.8563118001235195,0.657326524536392,0.8084915529333502,0.8660975893274879,0.8195078020638346,0.82704536471739,0.8992102166666145,0.8456908812504771,0.8797951920833414,0.8617153286003512,0.9670054143749679,0.859623885088563
sma_vol_5,0.7483481466029759,0.8544222407399307,1.0,0.7621061424345055,0.7011188969135611,0.6957368284409899,0.7726304715096383,0.8226476925211706,0.6406526659331523,0.6783318761030093,0.7434407132771307,0.7703310218915214,0.6934222480110839,0.7686322859186531,0.8151680316640957,0.7798296469664975,0.710412654397993,0.7982878350637516,0.8864817455098536
ewma_vol,0.9552812928125561,0.8825678319048498,0.7621061424345055,1.0,0.7012423334934829,0.9418882741652123,0.9018337406961975,0.8432652932573137,0.6666869887239882,0.924294370389221,0.8828069782900776,0.8208107268333686,0.9385702517651973,0.8976843491654598,0.834597859168479,0.9236163522015239,0.9478263543056773,0.8820074370887104,0.7646134444059611
gk_vol_daily,0.6775465884582363,0.7036885765281131,0.7011188969135611,0.7012423334934829,1.0,0.6957851938643832,0.7543672908553023,0.8206672991166961,0.9736108128455406,0.6895638134127489,0.7472884760308427,0.8135296924617034,0.6918523294742088,0.7495740736261557,0.8162963488894617,0.6658920680928454,0.6408149683222115,0.6499648786159476,0.6232359546128695
gk_vol_20,0.9378735160467776,0.8295274840315024,0.6957368284409899,0.9418882741652123,0.6957851938643832,1.0,0.9259327407964946,0.8488841824784333,0.6722664537743912,0.9962702366840858,0.9200297157702536,0.8397061892565757,0.9970948902065127,0.9211134886751596,0.8414897668051905,0.8803773171933735,0.9377133793687531,0.8424715418989795,0.7122803312504261
gk_vol_10,0.8867482903897332,0.9014055489726298,0.7726304715096383,0.9018337406961975,0.7543672908553023,0.9259327407964946,1.0,0.9332811508741337,0.7254111148523501,0.9200392861098765,0.9948079506851432,0.9219501356559682,0.9219813052937983,0.9958775725286735,0.9248746391366227,0.8797796997912077,0.8723057333080991,0.8969087040153948,0.7867732372424
gk_vol_5,0.8174887395765436,0.8563118001235195,0.8226476925211706,0.8432652932573137,0.8206672991166961,0.8488841824784333,0.9332811508741337,1.0,0.7902165723968839,0.8426417481993231,0.9273308092279633,0.9920771451395626,0.8444465544093138,0.9288246586778656,0.9937572599225115,0.8358738532552077,0.7958440097079452,0.8313414828436068,0.807091285723943
rs_vol_daily,0.6436571018138634,0.657326524536392,0.6406526659331523,0.6666869887239882,0.9736108128455406,0.6722664537743912,0.7254111148523501,0.7902165723968839,1.0,0.6687961703611496,0.7238551986322297,0.7932308758475701,0.6687745129382581,0.7222793606364343,0.7898838160291544,0.6454781502566916,0.6195900936490266,0.6240216801397108,0.6016504244597568
rs_vol_20,0.9132919272473037,0.8084915529333502,0.6783318761030093,0.924294370389221,0.6895638134127489,0.9962702366840858,0.9200392861098765,0.8426417481993231,0.6687961703611496,1.0,0.9198549137837534,0.838060123030746,0.9963320216599487,0.9179303663097026,0.8378697828078505,0.8652592058319106,0.9146483538950665,0.821627979364161,0.6953940271713343
