,sma_vol_20,sma_vol_10,ewma_vol,gk_vol_daily,gk_vol_20,gk_vol_10,gk_vol_5,rs_vol_daily,rs_vol_20,rs_vol_10,rs_vol_5,yz_vol_20,yz_vol_10,yz_vol_5,garch_vol,sma_vol_20_predict,sma_vol_10_predict,sma_vol_5_predict
sma_vol_20,1.0,0.9282696273057222,0.9722447646817123,0.7285418213089185,0.9707525478416873,0.921679913022009,0.8543984305972772,0.6876251717639348,0.9563818441758593,0.9054528304828661,0.8322335914635456,0.9683993130126818,0.9178151928448611,0.8471284548962562,0.9264860934098751,0.9932492480769548,0.9357051300431501,0.8296761967691129
sma_vol_10,0.9282696273057222,1.0,0.9218925770698837,0.7748095944546637,0.8951560861315233,0.947435495450419,0.9058641508494871,0.7275972055668551,0.8801195840969711,0.92432337354393,0.8783244518358398,0.8922382434808405,0.9439512396110209,0.8984706058626953,0.944817335893085,0.9084699682883369,0.9797321653854719,0.9074516158774051
ewma_vol,0.9722447646817123,0.9218925770698837,1.0,0.7514865541031345,0.9603327950900449,0.9214177659360039,0.8699021998906833,0.7097120756215333,0.9481235279610023,0.9056161589422886,0.8478302512291598,0.9577450485477353,0.9172472933363118,0.8623850802116225,0.9340265428870073,0.9677012732899865,0.9223464193267052,0.83368800416693
gk_vol_daily,0.7285418213089185,0.7748095944546637,0.7514865541031345,1.0,0.7374250864251807,0.8048084424566653,0.864887834455719,0.9793247494743236,0.7310916131730774,0.7953590932164023,0.8560060905975829,0.734663374537685,0.8000202624143035,0.8603387544511926,0.7624200619977782,0.6986415484502108,0.7350638884883898,0.7130348688308913
gk_vol_20,0.9707525478416873,0.8951560861315233,0.9603327950900449,0.7374250864251807,1.0,0.9403581619781334,0.8702696539514652,0.7060655731845196,0.9977690483964965,0.9344799406953919,0.8587316256475145,0.9987437764801083,0.9374492148169323,0.8649833736239726,0.9031657575766823,0.9703463932599178,0.9068452093807496,0.7972441421037102
gk_vol_10,0.921679913022009,0.947435495450419,0.9214177659360039,0.8048084424566653,0.9403581619781334,1.0,0.9493036065246455,0.7714879950733926,0.9358327337683232,0.9965751173873144,0.9390532623778413,0.9383083526291796,0.9981148805070552,0.9449767645419287,0.9248120090204333,0.9082060533605363,0.9441627863789404,0.8628231416958388
gk_vol_5,0.8543984305972772,0.9058641508494871,0.8699021998906833,0.864887834455719,0.8702696539514652,0.9493036065246455,1.0,0.8334508283172694,0.8651026637149248,0.943609974923454,0.9941311919811789,0.8677843754667316,0.9463704616276836,0.9969300380862016,0.900059705901885,0.8342263378868184,0.8855765203990561,0.869719327722276
rs_vol_daily,0.6876251717639348,0.7275972055668551,0.7097120756215333,0.9793247494743236,0.7060655731845196,0.7714879950733926,0.8334508283172694,1.0,0.7027295852597945,0.7668335430599118,0.8335037705164485,0.7041744772738876,0.7684718128592591,0.8326878654452101,0.7340946138071419,0.6689829138317677,0.7064468719844237,0.6941265830305394
rs_vol_20,0.9563818441758593,0.8801195840969711,0.9481235279610023,0.7310916131730774,0.9977690483964965,0.9358327337683232,0.8651026637149248,0.7027295852597945,1.0,0.9337836133144184,0.8572627571430891,0.9984227317104287,0.9346404949959586,0.8615750682050517,0.8883803304545135,0.9570399442112243,0.8925596920654847,0.7824702577884797
rs_vol_10,0.9054528304828661,0.92432337354393,0.9056161589422886,0.7953590932164023,0.9344799406953919,0.9965751173873144,0.943609974923454,0.7668335430599118,0.9337836133144184,1.0,0.9394342955639262,0.9340411294820479,0.9976442886401984,0.9423323751482854,0.9052448700895449,0.8932175617510741,0.9238458281601488,0.8415637560745626
rs_vol_5,0.8322335914635456,0.8783244518358398,0.8478302512291598,0.8560060905975829,0.8587316256475145,0.9390532623778413,0.9941311919811789,0.8335037705164485,0.8572627571430891,0.9394342955639262,1.0,0.8576011839366476,0.938650568373083,0.9963556789195225,0.8727031030158625,0.8142133662679142,0.8615189957062993,0.8359927944826292
yz_vol_20,0.9683993130126818,0.8922382434808405,0.9577450485477353,0.734663374537685,0.9987437764801083,0.9383083526291796,0.8677843754667316,0.7041744772738876,0.9984227317104287,0.9340411294820479,0.8576011839366476,1.0,0.9376223196706637,0.8644511760254203,0.8982737358455366,0.9678459172064122,0.9038312699798882,0.7939693609201659
yz_vol_10,0.9178151928448611,0.9439512396110209,0.9172472933363118,0.8000202624143035,0.9374492148169323,0.9981148805070552,0.9463704616276836,0.7684718128592591,0.9346404949959586,0.9976442886401984,0.938650568373083,0.9376223196706637,1.0,0.9454090423514716,0.9188466666344977,0.9042889699840226,0.9404308575809747,0.8587176057276276
yz_vol_5,0.8471284548962562,0.8984706058626953,0.8623850802116225,0.8603387544511926,0.8649833736239726,0.9449767645419287,0.9969300380862016,0.8326878654452101,0.8615750682050517,0.9423323751482854,0.9963556789195225,0.8644511760254203,0.9454090423514716,1.0,0.8906805254844123,0.8271332940793208,0.8782697505452034,0.8619676945221539
garch_vol,0.9264860934098751,0.944817335893085,0.9340265428870073,0.7624200619977782,0.9031657575766823,0.9248120090204333,0.900059705901885,0.7340946138071419,0.8883803304545135,0.9052448700895449,0.8727031030158625,0.8982737358455366,0.9188466666344977,0.8906805254844123,1.0,0.9197968939523027,0.948442917076487,0.9132212357423826
