DATE,ES1_LN_RET,ES1_OPEN,ES1_HIGH,ES1_LOW,ES1_CLOSE,ES1_VOLUME,ES1_IS_TRADING,ES1_CLOSE_LN,ES1_ARITH_RET,VIX_LN_RET,VIX_OPEN,VIX_HIGH,VIX_LOW,VIX_CLOSE,VIX_VOLUME,VIX_IS_TRADING,VIX_CLOSE_LN,VIX_ARITH_RET
2004-03-26,,1106.25,1114.0,1104.25,1106.0,664861,1,7.00850518208228,,,21.24,21.25,20.27,20.32,216,1,3.011605622710281,
2004-03-29,0.01414006277381219,1106.0,1123.5,1106.0,1121.75,669922,1,7.0226452448560925,0.014240506329114,-0.025923685009791253,19.9,19.99,19.75,19.8,52,1,2.9856819377004897,-0.025590551181102317
2004-03-30,0.003781563843543445,1121.75,1126.75,1117.5,1126.0,562087,1,7.026426808699636,0.003788722977490444,-0.009132483563272675,19.86,20.04,19.61,19.62,93,1,2.976549454137217,-0.009090909090909038
2004-03-31,-0.0008884940611153525,1126.0,1129.75,1119.75,1125.0,693645,1,7.025538314638521,-0.000888099467140302,0.006604037209913649,19.67,19.81,19.67,19.75,562,1,2.9831534913471307,0.006625891946992812
2004-04-01,0.007527155309063005,1126.75,1134.75,1123.5,1133.5,640574,1,7.033065469947584,0.007555555555555538,-0.006604037209913649,19.87,19.99,19.62,19.62,84,1,2.976549454137217,-0.00658227848101256
2004-04-02,0.007470920268372261,1133.25,1145.0,1132.0,1142.0,773288,1,7.040536390215956,0.007498897220996836,-0.03791677262379878,19.47,19.47,18.84,18.89,89,1,2.9386326815134183,-0.03720693170234457
2004-04-05,0.005457932989947345,1141.5,1149.5,1138.0,1148.25,479671,1,7.045994323205903,0.0054728546409807954,-0.01924164121615002,18.73,18.8,18.53,18.53,84,1,2.9193910402972683,-0.019057702488088912
2004-04-06,-0.0030527716686981066,1148.25,1148.5,1141.5,1144.75,469548,1,7.042941551537205,-0.003048116699325032,0.013933773128105731,18.57,18.89,18.57,18.79,304,1,2.933324813425374,0.01403130059363189
2004-04-07,-0.002186271093823855,1144.5,1146.5,1137.0,1142.25,632450,1,7.040755280443381,-0.0021838829438741714,0.015839824312282147,18.97,19.25,18.89,19.09,226,1,2.949164637737656,0.01596593932943069
2004-04-08,-0.0024104317576423284,1142.25,1154.5,1133.0,1139.5,640090,1,7.038344848685739,-0.002407528999781139,-0.0020975361649462343,18.95,19.15,18.95,19.05,98,1,2.94706710157271,-0.002095337873232017
2004-04-12,0.003941323254004203,1139.0,1146.5,1136.0,1144.0,384108,1,7.042286171939743,0.003949100482667944,-0.020149144019078413,18.78,18.78,18.67,18.67,5,1,2.9269179575536315,-0.019947506561679762
2004-04-13,-0.013863133232632663,1144.25,1150.0,1126.25,1128.25,828295,1,7.0284230387071105,-0.013767482517482499,0.03318713835720821,19.0,19.31,18.89,19.3,25,1,2.9601050959108397,0.03374397429030518
2004-04-14,0.001328609584278162,1128.0,1132.0,1120.75,1129.75,972966,1,7.029751648291389,0.001329492576999769,0.008255980847019284,19.38,19.5,19.38,19.46,308,1,2.968361076757859,0.008290155440414448
2004-04-15,-0.004213333652868023,1129.25,1133.5,1119.0,1125.0,880208,1,7.025538314638521,-0.00420447001549018,-0.0056686572820678904,19.33,19.44,19.26,19.35,142,1,2.962692419475791,-0.00565262076053441
2004-04-16,0.00796816964917646,1124.5,1136.0,1122.0,1134.0,681187,1,7.033506484287697,0.008000000000000007,-0.018253440309350832,19.18,19.19,19.0,19.0,61,1,2.9444389791664403,-0.01808785529715773
2004-04-19,-0.00022048285835030157,1132.5,1135.25,1128.25,1133.75,507413,1,7.033286001429347,-0.00022045855379193569,-0.006865619785981547,19.1,19.14,18.85,18.87,11,1,2.9375733593804587,-0.006842105263157872
2004-04-20,-0.017124848603423004,1133.5,1138.5,1113.25,1114.5,774369,1,7.016161152825924,-0.016979051819184132,0.01472935624619609,18.87,19.15,18.65,19.15,125,1,2.952302715626655,0.01483836777954406
2004-04-21,0.007152466790485867,1115.5,1124.75,1114.25,1122.5,861177,1,7.02331361961641,0.007178106774338167,-0.02484928282595833,19.09,19.1,18.64,18.68,11,1,2.9274534328006965,-0.024543080939947726
2004-04-22,0.01261497308871018,1124.0,1142.0,1118.25,1136.75,848340,1,7.03592859270512,0.01269487750556797,-0.07386092640782804,18.55,18.55,17.14,17.35,95,1,2.8535925063928684,-0.07119914346895062
2004-04-23,0.0024162559806191197,1140.0,1142.25,1133.25,1139.5,515762,1,7.038344848685739,0.00241917747965692,-0.0005765350404725034,17.23,17.5,17.23,17.34,601,1,2.853015971352396,-0.0005763688760808128
2004-04-26,-0.001317233999462708,1138.25,1144.25,1131.0,1138.0,554092,1,7.037027614686276,-0.0013163668275559814,-0.012184659016367227,17.3,17.39,17.13,17.13,246,1,2.8408313123360287,-0.01211072664359869
2004-04-27,0.0,1137.75,1146.25,1134.75,1138.0,743858,1,7.037027614686276,0.0,-0.019452425926815398,17.12,17.12,16.5,16.8,87,1,2.8213788864092133,-0.01926444833625207
2004-04-28,-0.012823523060892406,1138.0,1138.25,1120.0,1123.5,837185,1,7.024204091625384,-0.012741652021089678,0.033365693843800504,17.05,17.51,17.0,17.37,335,1,2.854744580253014,0.03392857142857153
2004-04-29,-0.008491671138154189,1123.0,1128.0,1106.5,1114.0,1145900,1,7.01571242048723,-0.008455718736092521,0.02276706191354627,17.23,17.91,17.23,17.77,274,1,2.87751164216656,0.023028209556706924
2004-04-30,-0.007207238404949301,1113.25,1119.0,1103.75,1106.0,817525,1,7.00850518208228,-0.007181328545781018,0.02500824966525217,17.54,18.28,17.54,18.22,131,1,2.9025198918318122,0.025323579065841262
2004-05-03,0.009000960858975837,1105.25,1118.0,1104.25,1116.0,609878,1,7.017506142941256,0.009041591320072317,-0.02952038366011811,18.0,18.0,17.69,17.69,42,1,2.872999508171694,-0.029088913282107498
2004-05-04,-0.00044812906866908975,1116.0,1127.5,1111.5,1115.5,781489,1,7.017058013872587,-0.00044802867383508804,-0.021715138983576132,17.6,17.68,16.85,17.31,36,1,2.851284369188118,-0.021481062747314983
2004-05-05,0.005810072210054251,1115.5,1124.5,1112.5,1122.0,665017,1,7.022868086082641,0.005826983415508691,-0.040677579760815874,17.04,17.05,16.6,16.62,237,1,2.810606789427302,-0.03986135181975725
2004-05-06,-0.008053734807096369,1122.0,1122.25,1104.75,1113.0,782294,1,7.014814351275545,-0.008021390374331583,0.05045058080008724,16.85,17.65,16.85,17.48,41,1,2.8610573702273894,0.05174488567990365
2004-05-07,-0.015848192240023984,1113.0,1117.0,1094.5,1095.5,986625,1,6.998966159035521,-0.01572327044025157,0.04638998845902975,17.54,18.31,17.12,18.31,136,1,2.907447358686419,0.04748283752860405
